5-Jan-80,KC and the Sunshine Band,"""Please Don't Go""",1
19-Jan-80,Michael Jackson,"""Rock with You""",4
16-Feb-80,Captain & Tennille,"""Do That to Me One More Time""",1
23-Feb-80,Queen,"""Crazy Little Thing Called Love""",4
22-Mar-80,Pink Floyd,"""Another Brick in the Wall (Part 2)""",4
19-Apr-80,Blondie,"""Call Me""? (1980)",6
31-May-80,"Lipps, Inc.","""Funkytown""",4
28-Jun-80,Paul McCartney,"""Coming Up (Live at Glasgow)""",3
19-Jul-80,Billy Joel,"""It's Still Rock and Roll to Me""",2
2-Aug-80,Olivia Newton-John,"""Magic""",4
30-Aug-80,Christopher Cross,"""Sailing""",1
6-Sep-80,Diana Ross,"""Upside Down""",4
4-Oct-80,Queen,"""Another One Bites the Dust""",3
25-Oct-80,Barbra Streisand,"""Woman in Love""",3
15-Nov-80,Kenny Rogers,"""Lady""",6
27-Dec-80,John Lennon,"""(Just Like) Starting Over""",5
